wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q437802,"Old Botanical Garden, Zurich",Switzerland,47.371111111,8.533611111,https://www.bg.uzh.ch/en/visit/altergarten.html,1837-01-01,,http://www.wikidata.org/entity/Q437802,Wikidata
Q589884,San Francisco Botanical Garden,United States,37.768333333,-122.47,https://www.sfbg.org/,,,http://www.wikidata.org/entity/Q589884,Wikidata
Q385057,Cornell Botanic Gardens,United States,42.45,-76.472,,1875-01-01,,http://www.wikidata.org/entity/Q385057,Wikidata
Q328848,Freiburg Botanical Garden,Germany,48.0097,7.85833,,,,http://www.wikidata.org/entity/Q328848,Wikidata
Q503498,Jerusalem Botanical Gardens,Israel,31.76873,35.200088,,1954-01-01,,http://www.wikidata.org/entity/Q503498,Wikidata
Q478245,Inhotim,Brazil,-20.124128,-44.218785,http://www.inhotim.org.br/,2006-01-01,,http://www.wikidata.org/entity/Q478245,Wikidata
Q94923,Botanical Garden of Curitiba,Brazil,-25.44277778,-49.23944444,http://www.turismo.curitiba.pr.gov.br/conteudo/jardim-botanico/1674,,,http://www.wikidata.org/entity/Q94923,Wikidata
Q202120,Luisenpark,Germany,49.4827,8.4974,https://www.luisenpark.de/,1892-01-01,,http://www.wikidata.org/entity/Q202120,Wikidata
Q323954,Leipzig Botanical Garden,Germany,51.3287,12.3913,https://www.lw.uni-leipzig.de/botanischer-garten,1540-01-01,,http://www.wikidata.org/entity/Q323954,Wikidata
Q437794,Old Botanical Garden at the Cologne Cathedral,Germany,,,,,,http://www.wikidata.org/entity/Q437794,Wikidata
Q538819,Memphis Botanic Garden,United States,35.1241,-89.9595,,,,http://www.wikidata.org/entity/Q538819,Wikidata
Q153748,Samara state university botanic garden,Russia,53.02,50.183,,1932-08-01,,http://www.wikidata.org/entity/Q153748,Wikidata
Q437790,Old Botanical Garden Marburg,Germany,50.8124,8.77236,,1812-01-01,,http://www.wikidata.org/entity/Q437790,Wikidata
Q428258,N.A. Avrorin Polar-Alpine Botanic Garden-Institute,Russia,67.652067,33.6667174,https://pabgi.ru/,1931-01-01,,http://www.wikidata.org/entity/Q428258,Wikidata
Q321565,Botanical Garden Potsdam,Germany,52.4041,13.0252,http://www.botanischer-garten-potsdam.de,1950-01-01,,http://www.wikidata.org/entity/Q321565,Wikidata
Q384815,East Texas Arboretum and Botanical Society,United States,32.2129,-95.8785,,,,http://www.wikidata.org/entity/Q384815,Wikidata
Q188617,Kew Gardens,United Kingdom,51.478888888,-0.293611111,https://www.kew.org/,,,http://www.wikidata.org/entity/Q188617,Wikidata
Q188617,Kew Gardens,United Kingdom,51.478888888,-0.293611111,http://www.kew.org/,,,http://www.wikidata.org/entity/Q188617,Wikidata
Q56046,Boxerwood Gardens,United States,38.4833,-78.85,,,,http://www.wikidata.org/entity/Q56046,Wikidata
Q256160,King's House on Schachen,Germany,47.419697222,11.112586111,https://www.schloesser.bayern.de/deutsch/schloss/objekte/schachen.htm,1871-01-01,,http://www.wikidata.org/entity/Q256160,Wikidata
