city,col_2_comments,coordinates,country,founded,name,notes,region,source,source_url,wikipedia_url
,,,Canada,,Centennial Park Conservatory,"Centennial Park Conservatory,Etobicoke",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Centennial_Park_Conservatory
,,,Canada,,Dominion Arboretum,"Dominion ArboretumandCentral Experimental Farm,Ottawa",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Dominion_Arboretum
,,,Canada,,Fanshawe College Arboretum,"Fanshawe College Arboretum,London",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Fanshawe_College_Arboretum
,,,Canada,,Humber College Arboretum,"Humber College Arboretum, Toronto",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Humber_College#Humber_Arboretum
,,,Canada,,Jackson Park,"Jackson Park,Windsor",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,"https://en.wikipedia.org/wiki/Jackson_Park_(Windsor,_Ontario)"
,,,Canada,,Lauber Arboretum,"Lauber Arboretum,Kakabeka Falls",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Lauber_Arboretum
,,,Canada,,Edwards Gardens,"Metro Toronto Parks Commission, TorontoEdwards GardensJames GardensToronto Islands",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Edwards_Gardens
,,,Canada,,Edwards Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Edwards_Gardens
,,,Canada,,James Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/James_Gardens
,,,Canada,,Toronto Islands,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Toronto_Islands
,,,Canada,,Niagara Parks Commission,"Niagara Parks Commission,Niagara Falls",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Niagara_Parks_Commission
,,,Canada,,"Parkwood, The R.S. McLaughlin Estate National Historic Site and Heritage Garden","Parkwood, The R.S. McLaughlin Estate National Historic Site and Heritage Garden, Oshawa",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,"https://en.wikipedia.org/wiki/Parkwood,_The_R.S._McLaughlin_Estate_National_Historic_Site_and_Heritage_Garden"
,,,Canada,,Royal Botanical Gardens,"Royal Botanical Gardens,Burlington",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,"https://en.wikipedia.org/wiki/Royal_Botanical_Gardens,_Ontario"
,,,Canada,,Sifton Bog,"Sifton Bog, London",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Sifton_Bog
,,,Canada,,Toronto Botanical Garden,"Toronto Botanical Garden, Toronto",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Toronto_Botanical_Garden
